,address_no,description,satuan,Unit
525,KALTIM1.SIGNAL.AI.10PCB30CP102,Unit #1 - DIFF P OF B WTR-RING VACUM PMP HEAT EXCHANGER INLET FLTR,KPa,Unit 1
526,KALTIM1.SIGNAL.AI.10MAA01CP113,Unit #1 - P OF GLD STM BFR ENTERING HP CYLINDER,MPa,Unit 1
527,KALTIM1.SIGNAL.AI.10MAA01CP114,Unit #1 - P OF GLD STM AFR ENTERING HP CYLINDER,MPa,Unit 1
528,KALTIM1.SIGNAL.AI.10MAU20CP105,Unit #1 - RESET OIL P,MPa,Unit 1
529,KALTIM1.SIGNAL.AI.10LCB40CY101,Unit #1 - B CONDENSATE PMP BEARING VIBRATION X,mm/s,Unit 1
530,KALTIM1.SIGNAL.AI.10LCB40AP001XQ01,Unit #1 - B CONDENSATE PMP CURRENT,A,Unit 1
531,KALTIM1.SIGNAL.AI.10MAJ31BN001XQ01,Unit #1 - B WTR-RING VACUM PMP CURRENT,A,Unit 1
532,KALTIM1.SIGNAL.AI.10MAD10CS101,Unit #1 - TURB SPEED 1,rpm,Unit 1
533,KALTIM1.SIGNAL.AI.10MAD10CS103,Unit #1 - TURB SPEED 3,rpm,Unit 1
534,KALTIM1.SIGNAL.AI.10MAD10CS104,Unit #1 - TURB ZERO SPEED,rpm,Unit 1
535,KALTIM1.SIGNAL.AI.10MKA01CE018,Unit #1 - Gen. Active Power,%,Unit 1
536,KALTIM1.SIGNAL.AI.10LCB40CY102,Unit #1 - B CONDENSATE PMP BEARING VIBRATION Y,mm/s,Unit 1
537,KALTIM1.SIGNAL.AI.10MAD10CS102,Unit #1 - TURB SPEED 2,rpm,Unit 1
538,KALTIM1.SIGNAL.AI.10MAD10CY102,Unit #1 - ECCENTRICITY RATIO OF TURB,um,Unit 1
539,KALTIM1.SIGNAL.AI.10MAD10CY103,Unit #1 - AXIAL DISPLACEMENT 1 OF TURB,mm,Unit 1
540,KALTIM1.SIGNAL.AI.10MKA01CE021,Unit #1 - Gen. Active Power,%,Unit 1
541,KALTIM1.SIGNAL.AI.10MAD10CY105,Unit #1 - Thermal expansion 1 of turbine,mm,Unit 1
542,KALTIM1.SIGNAL.AI.10MAA01CS101XQ01,Unit #1 - Emergency intercepter indicator current output,%,Unit 1
543,KALTIM1.SIGNAL.AI.10MAD10CY104,Unit #1 - AXIAL DISPLACEMENT 2 OF TURB,mm,Unit 1
544,KALTIM1.SIGNAL.AI.10MAU30AP003XQ01,Unit #1 - AC LUBE OIL PMP CURRENT,A,Unit 1
545,KALTIM1.SIGNAL.AI.10MAU40AP002XQ01,Unit #1 - B JACKING OIL PMP CURRENT,A,Unit 1
546,KALTIM1.SIGNAL.AI.10MAX12AP001XQ01,Unit #1 - B MAIN EH PMP CURRENT,A,Unit 1
547,KALTIM1.SIGNAL.AI.10MAD10CY106,Unit #1 - Thermal expansion 2 of turbine,mm,Unit 1
548,KALTIM1.SIGNAL.AI.10MAD11CY101,Unit #1 - SHAFT VIBRATION OF NO.1 BEARING IN THE X DIRECTION,um,Unit 1
549,KALTIM1.SIGNAL.AI.10MAD21CY101,Unit #1 - SHAFT VIBRATION OF NO.2 BEARING IN THE X DIRECTION,um,Unit 1
550,KALTIM1.SIGNAL.AI.10MAD31CY101,Unit #1 - SHAFT VIBRATION OF NO.3 BEARING IN THE X DIRECTION,um,Unit 1
551,KALTIM1.SIGNAL.AI.10MAD41CY101,Unit #1 - SHAFT VIBRATION OF NO.4 BEARING IN THE X DIRECTION,um,Unit 1
552,KALTIM1.SIGNAL.AI.10MAD51CY101,Unit #1 - SHAFT VIBRATION OF NO.5 BEARING IN THE X DIRECTION,um,Unit 1
553,KALTIM1.SIGNAL.AI.10MAD61CY101,Unit #1 - SHAFT VIBRATION OF NO.6 BEARING IN THE X DIRECTION,um,Unit 1
554,KALTIM1.SIGNAL.AI.10QFB40CP101,Unit #1 - Pressure of turbine instrument air main pipe 1,MPa,Unit 1
555,KALTIM1.SIGNAL.AI.10MAD11CY102,Unit #1 - SHAFT VIBRATION OF NO.1 BEARING IN THE Y DIRECTION,um,Unit 1
556,KALTIM1.SIGNAL.AI.10MAD21CY102,Unit #1 - SHAFT VIBRATION OF NO.2 BEARING IN THE Y DIRECTION,um,Unit 1
557,KALTIM1.SIGNAL.AI.10MAD31CY102,Unit #1 - SHAFT VIBRATION OF NO.3 BEARING IN THE Y DIRECTION,um,Unit 1
558,KALTIM1.SIGNAL.AI.10MAD41CY102,Unit #1 - SHAFT VIBRATION OF NO.4 BEARING IN THE Y DIRECTION,um,Unit 1
559,KALTIM1.SIGNAL.AI.10MAD51CY102,Unit #1 - SHAFT VIBRATION OF NO.5 BEARING IN THE Y DIRECTION,um,Unit 1
560,KALTIM1.SIGNAL.AI.10MAD61CY102,Unit #1 - SHAFT VIBRATION OF NO.6 BEARING IN THE Y DIRECTION,um,Unit 1
561,KALTIM1.SIGNAL.AI.10QFB50CP101,Unit #1 - Pressure of turbine instrument air main pipe 2,MPa,Unit 1
562,KALTIM1.SIGNAL.AI.10MAD11CY103,Unit #1 - Vibration of NO.1 bearing in the X direction,um,Unit 1
563,KALTIM1.SIGNAL.AI.10MAD21CY103,Unit #1 - Vibration of NO.2 bearing in the X direction,um,Unit 1
564,KALTIM1.SIGNAL.AI.10MAD31CY103,Unit #1 - Vibration of NO.3 bearing in the X direction,um,Unit 1
565,KALTIM1.SIGNAL.AI.10MAD41CY103,Unit #1 - Vibration of NO.4 bearing in the X direction,um,Unit 1
566,KALTIM1.SIGNAL.AI.10MAD51CY103,Unit #1 - Vibration of NO.5 bearing in the X direction,um,Unit 1
567,KALTIM1.SIGNAL.AI.10MAD61CY103,Unit #1 - Vibration of NO.5 bearing in the X direction,um,Unit 1
568,KALTIM1.SIGNAL.AI.10QFB51CP101,Unit #1 - Pressure of extraction steam check valve instrument air main pip,MPa,Unit 1
569,KALTIM1.SIGNAL.AI.10MAD11CY104,Unit #1 - Vibration of NO.1 bearing in the Y direction,um,Unit 1
570,KALTIM1.SIGNAL.AI.10MAD21CY105,Unit #1 - Vibration of NO.2 bearing in the Y direction,um,Unit 1
571,KALTIM1.SIGNAL.AI.10MAD31CY104,Unit #1 - Vibration of NO.3 bearing in the Y direction,um,Unit 1
572,KALTIM1.SIGNAL.AI.10MAD41CY105,Unit #1 - Vibration of NO.4 bearing in the Y direction,um,Unit 1
573,KALTIM1.SIGNAL.AI.10MAD51CY104,Unit #1 - Vibration of NO.5 bearing in the Y direction,um,Unit 1
574,KALTIM1.SIGNAL.AI.10MAD61CY104,Unit #1 - Vibration of NO.6 bearing in the Y direction,um,Unit 1
575,KALTIM1.SIGNAL.AI.10PGB20AA101XQ12,Unit #1 - LEVEL CTRL VLV OF EXPANSION TANK PSN,%,Unit 1
576,KALTIM1.SIGNAL.AI.10PGB50AA101XQ12,Unit #1 - WTR INLET CTRL VLV OF TURB LUBE OIL COOLER PSN,%,Unit 1
577,KALTIM1.SIGNAL.AI.10PGB75AA101XQ12,Unit #1 - CTRL VLV OF GEN AIR COOLER COOLING WTR OUTLET PSN,%,Unit 1
578,KALTIM1.SIGNAL.AI.10PAB30AA001XQ12,Unit #1 - MTR VLV OF COND B SIDE CIRCLE WTR INLET POSITION,%,Unit 1
579,KALTIM1.SIGNAL.AI.10PAB40AA001XQ12,Unit #1 - MTR VLV OF COND B SIDE CIRCLE WTR OUTLET POSITION,%,Unit 1
580,KALTIM1.SIGNAL.AI.10CBA01XQ01,Unit #1 - Load  reference,MW,Unit 1
581,KALTIM1.SIGNAL.AI.10CBA01XQ03,Unit #1 - Frequency correction,Hz,Unit 1
582,KALTIM1.SIGNAL.AI.10MKA01CE001,Unit #1 - #1 Gen. Current (A Phase),A,Unit 1
583,KALTIM1.SIGNAL.AI.10MKA01CE002,Unit #1 - #1 Gen. Current (B Phase),A,Unit 1
584,KALTIM1.SIGNAL.AI.10MKA01CE003,Unit #1 - #1 Gen. Current (C Phase),A,Unit 1
585,KALTIM1.SIGNAL.AI.10MKA01CE006,Unit #1 - #1 Gen. Stator Voltage(A-B),KV,Unit 1
586,KALTIM1.SIGNAL.AI.10MKA01CE007,Unit #1 - #1 Gen. Stator Voltage(B-C),KV,Unit 1
587,KALTIM1.SIGNAL.AI.10MKA01CE008,Unit #1 - #1 Gen. Stator Voltage(A-C),KV,Unit 1
588,KALTIM1.SIGNAL.AI.10MKA01CE004,Unit #1 - #1 Gen. Active Power,MW,Unit 1
589,KALTIM1.SIGNAL.AI.10MKA01CE005,Unit #1 - #1 Gen. Reactive Power,MVAR,Unit 1
590,KALTIM1.SIGNAL.AI.10MKA01CE009,Unit #1 - #1 Gen. Frequency,HZ,Unit 1
591,KALTIM1.SIGNAL.AI.10MKA01CE010,Unit #1 - #1 Gen. Power Factor,,Unit 1
592,KALTIM1.SIGNAL.AI.10MKA01CE011,Unit #1 - #1 Gen. Negative Sequence Current,A,Unit 1
593,KALTIM1.SIGNAL.AI.10MKA01CE012,Unit #1 - #1 Gen. Zero Sequence Current,A,Unit 1
594,KALTIM1.SIGNAL.AI.10MKA01CE013,Unit #1 - #1 Gen. Zero Sequence Voltage,V,Unit 1
595,KALTIM1.SIGNAL.AI.10MKT01CE001,Unit #1 - #1 Excit. Tran. HV Side Current (B Phase),A,Unit 1
596,KALTIM1.SIGNAL.AI.10MKT01CE002,Unit #1 - #1 Excit. Tran. HV Side Active Power,KW,Unit 1
597,KALTIM1.SIGNAL.AI.10MKT01CE003,Unit #1 - #1 Excit. Tran. HV Side Reactive Power,KVAR,Unit 1
598,KALTIM1.SIGNAL.AI.10MKC01CE001,Unit #1 - #1 Gen. Field Voltage,V,Unit 1
599,KALTIM1.SIGNAL.AI.10MKC01CE002,Unit #1 - #1 Gen. Field Current,A,Unit 1
600,KALTIM1.SIGNAL.AI.10BAT01CE007,Unit #1 - #1 Gen. Tran. HV Side Active Power,MW,Unit 1
601,KALTIM1.SIGNAL.AI.10BAT01CE008,Unit #1 - #1 Gen. Tran. HV Side Reactive Power,MVAR,Unit 1
602,KALTIM1.SIGNAL.AI.10BAT01CE009,Unit #1 - #1 Gen. Tran. HV Side Frequency,HZ,Unit 1
603,KALTIM1.SIGNAL.AI.10BAT01CE011,Unit #1 - #1 Gen. Tran. Oil Temperature 1,°C,Unit 1
604,KALTIM1.SIGNAL.AI.10BAT01CE012,Unit #1 - #1 Gen. Tran. Oil Temperature 2,°C,Unit 1
605,KALTIM1.SIGNAL.AI.10BAT01CE013,Unit #1 - #1 Gen. Tran. Winding Temperature,°C,Unit 1
606,KALTIM1.SIGNAL.AI.10BAT01CE001,Unit #1 - #1 Gen. Tran. HV Side Current (A Phase),A,Unit 1
607,KALTIM1.SIGNAL.AI.10BAT01CE002,Unit #1 - #1 Gen. Tran. HV Side Current (B Phase),A,Unit 1
608,KALTIM1.SIGNAL.AI.10BAT01CE003,Unit #1 - #1 Gen. Tran. HV Side Current (C Phase),A,Unit 1
609,KALTIM1.SIGNAL.AI.10BAT01CE004,Unit #1 - #1 Gen. Tran. HV Side Voltage(A-B),KV,Unit 1
610,KALTIM1.SIGNAL.AI.10BAT01CE005,Unit #1 - #1 Gen. Tran. HV Side Voltage(B-C),KV,Unit 1
611,KALTIM1.SIGNAL.AI.10BAT01CE006,Unit #1 - #1 Gen. Tran. HV Side Voltage(A-C),KV,Unit 1
612,KALTIM1.SIGNAL.AI.10BBT01CE001,Unit #1 - #1 Unit Aux. Tran. phase B current,A,Unit 1
613,KALTIM1.SIGNAL.AI.10BBT01CE002,Unit #1 - #1 Unit Aux. Tran. active power ,MW,Unit 1
614,KALTIM1.SIGNAL.AI.10BBT01CE003,Unit #1 - #1 Unit Aux. Tran. reactive power ,MVAR,Unit 1
615,KALTIM1.SIGNAL.AI.10BBT01CE011,Unit #1 - #1 Unit Aux. Tran. winding temperature,°C,Unit 1
616,KALTIM1.SIGNAL.AI.10BBT01CE012,Unit #1 - #1 Unit Aux. Tran. oil temperature 1,°C,Unit 1
617,KALTIM1.SIGNAL.AI.10BBT01CE013,Unit #1 - #1 Unit Aux. Tran. oil temperature 2,°C,Unit 1
618,KALTIM1.SIGNAL.AI.10BBA11CE001,Unit #1 - #1 LV Auxiliary Power TR. A current at 6kV side,A,Unit 1
619,KALTIM1.SIGNAL.AI.10BBA12CE001,Unit #1 - #1 LV Auxiliary Power TR. B current at 6kV side,A,Unit 1
620,KALTIM1.SIGNAL.AI.10BBA14CE001,Unit #1 - #1 ESP TR. current at 6kV side,A,Unit 1
621,KALTIM1.SIGNAL.AI.10BBA13CE001,Unit #1 - #1 Circulating  Water TR. current at 6kV side,A,Unit 1
622,KALTIM1.SIGNAL.AI.10BFB02ACE001,Unit #1 - Coal bunkey belt conveyor MCC board No.1 power feeder current,A,Unit 1
623,KALTIM1.SIGNAL.AI.10BFA01BCE002,Unit #1 - #1 Power house PDC A board incoming PT voltage for AC phase,V,Unit 1
624,KALTIM1.SIGNAL.AI.10BFB01ACE002,Unit #1 - #1 Power house PDC B board incoming PT voltage for AC phase,V,Unit 1
625,KALTIM1.SIGNAL.AI.10BFA02ACE001,Unit #1 - #1 Unit service PDC bus-tie CB current,A,Unit 1
626,KALTIM1.SIGNAL.AI.10BFA03ACE001,Unit #1 - Unit service MCC I A board No.1 power feeder current,A,Unit 1
627,KALTIM1.SIGNAL.AI.10BFB03ACE001,Unit #1 - Unit service MCC I A board No.2 power feeder current,A,Unit 1
628,KALTIM1.SIGNAL.AI.10BFA03BCE001,Unit #1 - Unit service MCC I B board No.1 power feeder current,A,Unit 1
629,KALTIM1.SIGNAL.AI.10BFB03BCE001,Unit #1 - Unit service MCC I B board No.2 power feeder current,A,Unit 1
630,KALTIM1.SIGNAL.AI.10BFA04ACE001,Unit #1 - Common service MCC A board No.1 power feeder current,A,Unit 1
631,KALTIM1.SIGNAL.AI.10BFB04ACE001,Unit #1 - Common service MCC B board No.1 power feeder current,A,Unit 1
632,KALTIM1.SIGNAL.AI.10BHA01BCE002,Unit #1 - #1 ESP.  PDC A board incoming PT voltage for AC phase,V,Unit 1
633,KALTIM1.SIGNAL.AI.10BFA04BCE001,Unit #1 - #1 emergency power supply IA board power 1  CB current,A,Unit 1
634,KALTIM1.SIGNAL.AI.10BFA05BCE001,Unit #1 - #1 emergency power supply IB board power 1  CB current,A,Unit 1
635,KALTIM1.SIGNAL.AI.10BFB04BCE001,Unit #1 - #1 emergency power supply IA board power 2  CB current,A,Unit 1
636,KALTIM1.SIGNAL.AI.10BFB05BCE001,Unit #1 - #1 emergency power supply IB board power 2  CB current,A,Unit 1
637,KALTIM1.SIGNAL.AI.10BMA01ACE001,Unit #1 - Incoming CB I of 400/230V emergency power supply IA board (K15) ,A,Unit 1
638,KALTIM1.SIGNAL.AI.10BMB01ACE001,Unit #1 - Incoming CB I of 400/230V emergency power supply IB board (K17) ,A,Unit 1
639,KALTIM1.SIGNAL.AI.10BMA01BCE001,Unit #1 - Incoming CB II of 400/230V emergency power supply IA board (K16),A,Unit 1
640,KALTIM1.SIGNAL.AI.10BMB01BCE001,Unit #1 - Incoming CB II of 400/230V emergency power supply IB board (K18),A,Unit 1
641,KALTIM1.SIGNAL.AI.10BMA02ACE001,Unit #1 - Incoming CB III of 400/230V emergency power supply IA board (K13,A,Unit 1
642,KALTIM1.SIGNAL.AI.10BMB02ACE001,Unit #1 - Incoming CB III of 400/230V emergency power supply IB board (K14,A,Unit 1
643,KALTIM1.SIGNAL.AI.10BMA02BCE001,Unit #1 - Emergency power supply IA board PT phase AC voltage,V,Unit 1
644,KALTIM1.SIGNAL.AI.10BMB02BCE001,Unit #1 - Emergency power supply IB board PT phase AC voltage,V,Unit 1
645,KALTIM1.SIGNAL.AI.10BBA01CE001,Unit #1 - 6kV unit board I incoming PT voltage for AC phase,KV,Unit 1
646,KALTIM1.SIGNAL.AI.10BBA02CE001,Unit #1 - 6kV unit board bus-tie CB current,A,Unit 1
647,KALTIM1.SIGNAL.AI.10BBA04CE001,Unit #1 - 6kV unit board I to 6kV common board No.1 power feeder CB curren,A,Unit 1
648,KALTIM1.SIGNAL.AI.10BBA15CE001,Unit #1 - 6kV Unit Board I phase AB voltage ,KV,Unit 1
649,KALTIM1.SIGNAL.AI.10BBA15CE002,Unit #1 - 6kV Unit Board I phase BC voltage ,KV,Unit 1
650,KALTIM1.SIGNAL.AI.10BBA15CE003,Unit #1 - 6kV Unit Board I phase CA voltage ,KV,Unit 1
651,KALTIM1.SIGNAL.AI.10BRA03CE001,Unit #1 - #1 Unit UPS Output AC Voltage,V,Unit 1
652,KALTIM1.SIGNAL.AI.10BRA03CE002,Unit #1 - #1 Unit UPS Output AC Current,A,Unit 1
653,KALTIM1.SIGNAL.AI.10BRA03CE003,Unit #1 - #1 Unit UPS Output Frequency,HZ,Unit 1
654,KALTIM1.SIGNAL.AI.10BUD02CE001,Unit #1 - #1 Unit 220V DC System No.1 Charge panel charger voltage,V,Unit 1
655,KALTIM1.SIGNAL.AI.10BUD02CE002,Unit #1 - #1 Unit 220V DC System No.1 Charge panel charger current,A,Unit 1
656,KALTIM1.SIGNAL.AI.10BUD05CE001,Unit #1 - #1 Unit 220V DC System No.2 Charge panel charger voltage,V,Unit 1
657,KALTIM1.SIGNAL.AI.10BUD05CE002,Unit #1 - #1 Unit 220V DC System No.2 Charge panel charger current,A,Unit 1
658,KALTIM1.SIGNAL.AI.10BUD03CE001,Unit #1 - #1 Unit 220V DC System No.1 connect panel battery voltage,V,Unit 1
659,KALTIM1.SIGNAL.AI.10BUD03CE002,Unit #1 - #1 Unit 220V DC System No.1 connect panel battery current,A,Unit 1
660,KALTIM1.SIGNAL.AI.10BUD03CE003,Unit #1 - #1 Unit 220V DC System No.1 connect panel bus I voltage,V,Unit 1
661,KALTIM1.SIGNAL.AI.10BUD04CE001,Unit #1 - #1 Unit 220V DC System No.2 connect panel battery voltage,V,Unit 1
662,KALTIM1.SIGNAL.AI.10BUD04CE002,Unit #1 - #1 Unit 220V DC System No.2 connect panel battery current,A,Unit 1
663,KALTIM1.SIGNAL.AI.10BUD04CE003,Unit #1 - #1 Unit 220V DC System No.2 connect panel bus II voltage,V,Unit 1
664,KALTIM1.SIGNAL.AI.T1AIMW1,Unit #1 - Generator Power1,MW,Unit 1
665,KALTIM1.SIGNAL.AI.T1AIMW2,Unit #1 - Generator power2,MW,Unit 1
666,KALTIM1.SIGNAL.AI.T1AIDDV1POS,Unit #1 - DDV1 Feedback,%,Unit 1
667,KALTIM1.SIGNAL.AI.T1AIDDV2POS,Unit #1 - DDV2 Feedback,%,Unit 1
668,KALTIM1.SIGNAL.AI.T1AIDDV3POS,Unit #1 - DDV3 Feedback,%,Unit 1
669,KALTIM1.SIGNAL.AI.T1AIDDV4POS,Unit #1 - DDV4 Feedback,%,Unit 1
670,KALTIM1.SIGNAL.AI.T1AIMW3,Unit #1 - Generator Power3,MW,Unit 1
671,KALTIM1.SIGNAL.AI.PN22_AAE,Unit #1 - ,,Unit 1
672,KALTIM1.SIGNAL.AI.T1AITP1,Unit #1 - Main Steam pressure1,MPa,Unit 1
673,KALTIM1.SIGNAL.AI.T1AIMSVPOS1,Unit #1 - MSV Feedback 1,%,Unit 1
674,KALTIM1.SIGNAL.AI.T1AIVACUUM,Unit #1 - Condenser vacuum,KPa,Unit 1
675,KALTIM1.SIGNAL.AI.T1MSFLOW,Unit #1 - Main Steam flow,t/h,Unit 1
676,KALTIM1.SIGNAL.AI.T1AILUBOILP,Unit #1 - Lube Oil Pressure,MPa,Unit 1
677,KALTIM1.SIGNAL.AI.T1AITJJYL1,Unit #1 - Regulation Pressure1,MPa,Unit 1
678,KALTIM1.SIGNAL.AI.T1AITJJYL2,Unit #1 - Regulation Pressure2,MPa,Unit 1
679,KALTIM1.SIGNAL.AI.PN22_AAF,Unit #1 - ,,Unit 1
680,KALTIM1.SIGNAL.AI.T1AITP2,Unit #1 - Main steam pressure2,MPa,Unit 1
681,KALTIM1.SIGNAL.AI.T1AIMSVPOS2,Unit #1 - MSV Feedback2,%,Unit 1
682,KALTIM1.SIGNAL.AI.T1AICCSCMD1,Unit #1 - CCS Command 1,%,Unit 1
683,KALTIM1.SIGNAL.AI.T1AIEHOILP,Unit #1 - Eh Oil pressre,MPa,Unit 1
684,KALTIM1.SIGNAL.AI.T1AITJJYL3,Unit #1 - Regulation Pressure3,MPa,Unit 1
685,KALTIM1.SIGNAL.AI.T1AICCSCMD2,Unit #1 - CCS Command2,%,Unit 1
686,KALTIM1.SIGNAL.AI.T1AITP3,Unit #1 - Main steam pressure3,MPa,Unit 1
687,KALTIM1.SIGNAL.AI.PN22_AAG,Unit #1 - ,,Unit 1
688,KALTIM1.SIGNAL.RTD.10HFE10CT105,Unit #1 - A coal spreading booster fan motor stator temperature 1,°C,Unit 1
689,KALTIM1.SIGNAL.RTD.10HFE10CT106,Unit #1 - A coal spreading booster fan motor stator temperature 2,°C,Unit 1
690,KALTIM1.SIGNAL.RTD.10HFE10CT107,Unit #1 - A coal spreading booster fan motor stator temperature 3,°C,Unit 1
691,KALTIM1.SIGNAL.RTD.10HFE10CT108,Unit #1 - A coal spreading booster fan motor stator temperature 4,°C,Unit 1
692,KALTIM1.SIGNAL.RTD.10HFE10CT109,Unit #1 - A coal spreading booster fan motor stator temperature 5,°C,Unit 1
693,KALTIM1.SIGNAL.RTD.10HFE10CT110,Unit #1 - A coal spreading booster fan motor stator temperature 6,°C,Unit 1
694,KALTIM1.SIGNAL.RTD.10HLB30CT105,Unit #1 - A secondary air fan motor stator temperature 1,°C,Unit 1
695,KALTIM1.SIGNAL.RTD.10HLB30CT106,Unit #1 - A secondary air fan motor stator temperature 2,°C,Unit 1
696,KALTIM1.SIGNAL.RTD.10HLB30CT107,Unit #1 - A secondary air fan motor stator temperature 3,°C,Unit 1
697,KALTIM1.SIGNAL.RTD.10HLB30CT108,Unit #1 - A secondary air fan motor stator temperature 4,°C,Unit 1
698,KALTIM1.SIGNAL.RTD.10HLB30CT109,Unit #1 - A secondary air fan motor stator temperature 5,°C,Unit 1
699,KALTIM1.SIGNAL.RTD.10HLB30CT110,Unit #1 - A secondary air fan motor stator temperature 6,°C,Unit 1
700,KALTIM1.SIGNAL.RTD.10ERB10CT101,Unit #1 - Fuel oil main pipe temperature,°C,Unit 1
701,KALTIM1.SIGNAL.RTD.10HLB10CT105,Unit #1 - A primary air fan motor stator temperature 1,°C,Unit 1
702,KALTIM1.SIGNAL.RTD.10HLB10CT106,Unit #1 - A primary air fan motor stator temperature 2,°C,Unit 1
703,KALTIM1.SIGNAL.RTD.10HLB10CT107,Unit #1 - A primary air fan motor stator temperature 3,°C,Unit 1
704,KALTIM1.SIGNAL.RTD.10HLB10CT108,Unit #1 - A primary air fan motor stator temperature 4,°C,Unit 1
705,KALTIM1.SIGNAL.RTD.10HLB10CT109,Unit #1 - A primary air fan motor stator temperature 5,°C,Unit 1
706,KALTIM1.SIGNAL.RTD.10HLB10CT110,Unit #1 - A primary air fan motor stator temperature 6,°C,Unit 1
707,KALTIM1.SIGNAL.RTD.10LAE20CT101,Unit #1 - Desuperheater water filter outlet temperature,°C,Unit 1
708,KALTIM1.SIGNAL.RTD.10HLB10CT101,Unit #1 - A primary air fan bearing temperature 1,°C,Unit 1
709,KALTIM1.SIGNAL.RTD.10HLB10CT102,Unit #1 - A primary air fan bearing temperature 2,°C,Unit 1
710,KALTIM1.SIGNAL.RTD.10HLB10CT103,Unit #1 - A primary air fan motor bearing temperature 1,°C,Unit 1
711,KALTIM1.SIGNAL.RTD.10HLB10CT104,Unit #1 - A primary air fan motor bearing temperature 2,°C,Unit 1
712,KALTIM1.SIGNAL.RTD.10HLA10CT101,Unit #1 - A primary air fan outlet temperature,°C,Unit 1
713,KALTIM1.SIGNAL.RTD.10HHL01CT101,Unit #1 - Air preheater primary air outlet temperature,°C,Unit 1
714,KALTIM1.SIGNAL.RTD.10HLB30CT101,Unit #1 - A secondary air fan bearing temperature 1,°C,Unit 1
715,KALTIM1.SIGNAL.RTD.10HLB30CT102,Unit #1 - A secondary air fan bearing temperature 2,°C,Unit 1
716,KALTIM1.SIGNAL.RTD.10HLB30CT103,Unit #1 - A secondary air fan motor bearing temperature 1,°C,Unit 1
717,KALTIM1.SIGNAL.RTD.10HLB30CT104,Unit #1 - A secondary air fan motor bearing temperature 2,°C,Unit 1
718,KALTIM1.SIGNAL.RTD.10HLA30CT101,Unit #1 - A secondary air fan outlet temperature,°C,Unit 1
719,KALTIM1.SIGNAL.RTD.10HHL10CT101,Unit #1 - Side-A hot secondary air temperature,°C,Unit 1
720,KALTIM1.SIGNAL.RTD.10HFE10CT101,Unit #1 - A coal spreading booster fan bearing temperature 1,°C,Unit 1
721,KALTIM1.SIGNAL.RTD.10HFE10CT102,Unit #1 - A coal spreading booster fan bearing temperature 2,°C,Unit 1
722,KALTIM1.SIGNAL.RTD.10HFE10CT103,Unit #1 - A coal spreading booster fan motor bearing temperature 1,°C,Unit 1
723,KALTIM1.SIGNAL.RTD.10HFE10CT104,Unit #1 - A coal spreading booster fan motor bearing temperature 2,°C,Unit 1
724,KALTIM1.SIGNAL.RTD.10HDF10CT101,Unit #1 - A HP fluidizing air fan bearing temperature 1,°C,Unit 1
725,KALTIM1.SIGNAL.RTD.10HDF10CT103,Unit #1 - A HP fluidizing air fan motor bearing temperature 1,°C,Unit 1
726,KALTIM1.SIGNAL.RTD.10HDF10CT104,Unit #1 - A HP fluidizing air fan motor bearing temperature 2,°C,Unit 1
727,KALTIM1.SIGNAL.RTD.10HDF10CT105,Unit #1 - A HP fluidizing air fan motor stator temperature 1,°C,Unit 1
728,KALTIM1.SIGNAL.RTD.10HDF10CT106,Unit #1 - A HP fluidizing air fan motor stator temperature 2,°C,Unit 1
729,KALTIM1.SIGNAL.RTD.10HDF10CT107,Unit #1 - A HP fluidizing air fan motor stator temperature 3,°C,Unit 1
730,KALTIM1.SIGNAL.RTD.10HDF10CT108,Unit #1 - A HP fluidizing air fan motor stator temperature 4,°C,Unit 1
731,KALTIM1.SIGNAL.RTD.10HDF10CT109,Unit #1 - A HP fluidizing air fan motor stator temperature 5,°C,Unit 1
732,KALTIM1.SIGNAL.RTD.10HDF10CT110,Unit #1 - A HP fluidizing air fan motor stator temperature 6,°C,Unit 1
733,KALTIM1.SIGNAL.RTD.10HDF10CT111,Unit #1 - A HP fluidizing air fan outlet temperature,°C,Unit 1
734,KALTIM1.SIGNAL.RTD.10HDF40CT101,Unit #1 - HP fluidizing air fan outlet header temperature,°C,Unit 1
735,KALTIM1.SIGNAL.RTD.10HNC10CT101,Unit #1 - A IDF bearing temperature 1,°C,Unit 1
736,KALTIM1.SIGNAL.RTD.10HNC10CT102,Unit #1 - A IDF bearing temperature 2,°C,Unit 1
737,KALTIM1.SIGNAL.RTD.10HNC10CT103,Unit #1 - A IDF motor bearing temperature 1,°C,Unit 1
738,KALTIM1.SIGNAL.RTD.10HNC10CT104,Unit #1 - A IDF motor bearing temperature 2,°C,Unit 1
739,KALTIM1.SIGNAL.RTD.10LCE36CT101,Unit #1 - Slag cooler pump outlet main pipe temperature,°C,Unit 1
740,KALTIM1.SIGNAL.RTD.10HNA10CT102,Unit #1 - A iuduced draft fan inlet flue gas temperature,°C,Unit 1
741,KALTIM1.SIGNAL.RTD.10HNA10CT101,Unit #1 - Side-A boiler outlet flue gas temperature,°C,Unit 1
742,KALTIM1.SIGNAL.RTD.10HNA10CT103,Unit #1 - A IDF outlet air temperature,°C,Unit 1
743,KALTIM1.SIGNAL.RTD.10HNC10CT105,Unit #1 - A IDF motor stator temperature 1,°C,Unit 1
744,KALTIM1.SIGNAL.RTD.10HNC10CT106,Unit #1 - A IDF motor stator temperature 2,°C,Unit 1
